time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-28T04:52:31.922Z,-34.8891,-71.709,58.28,5.5,mww,,50,0.218,0.75,us,us7000c6lj,2020-10-28T05:35:48.096Z,"36 km W of Rauco, Chile",earthquake,5,5.5,0.061,26,reviewed,us,us
2020-10-28T04:13:41.983Z,53.2014,-173.4182,233.22,5.5,mww,,32,1.108,1.04,us,us7000c6l2,2020-10-28T05:13:44.530Z,"123 km NNE of Atka, Alaska",earthquake,6.7,3.8,0.03,104,reviewed,us,us
2020-10-28T03:01:37.741Z,-42.2777,174.6852,26.58,4.9,mb,,69,0.634,0.53,us,us7000c6kh,2020-10-28T05:07:44.469Z,"104 km SE of Blenheim, New Zealand",earthquake,3.1,5.3,0.122,21,reviewed,us,us
2020-10-27T23:38:04.973Z,19.6155,122.2098,34.94,4.5,mb,,126,2.642,1.01,us,us7000c6iy,2020-10-28T00:43:40.040Z,"95 km SSE of Basco, Philippines",earthquake,7.8,9.2,0.106,26,reviewed,us,us
2020-10-27T20:51:15.905Z,7.5704,-36.7192,10,4.6,mb,,117,13.335,0.55,us,us7000c6h9,2020-10-27T22:02:29.040Z,"central Mid-Atlantic Ridge",earthquake,12.7,1.9,0.08,49,reviewed,us,us
2020-10-27T19:43:52.977Z,-2.2321,119.1095,17.38,5.5,mww,,43,2.47,1.23,us,us7000c6e1,2020-10-28T04:59:59.040Z,"55 km NNE of Mamuju, Indonesia",earthquake,5.4,3.8,0.066,22,reviewed,us,us
2020-10-27T15:43:50.436Z,7.0457,-78.6665,10,4.6,mb,,109,2.902,0.94,us,us6000cdt0,2020-10-27T19:58:03.598Z,"76 km SW of Jaqué, Panama",earthquake,4.5,1.9,0.157,13,reviewed,us,us
2020-10-27T14:38:42.608Z,-62.3887,-58.3365,1.24,4.8,mb,,90,0.215,0.94,us,us6000cdrz,2020-10-27T14:59:14.040Z,"South Shetland Islands",earthquake,4.2,4.9,0.119,24,reviewed,us,us
2020-10-27T14:06:09.193Z,54.0495,-159.6577,14.24,4.5,mb,,163,0.784,0.61,us,us6000cdrk,2020-10-27T20:51:51.600Z,"153 km SSE of Sand Point, Alaska",earthquake,5,2.2,0.056,93,reviewed,us,us
2020-10-27T11:59:18.312Z,-0.47,-78.7458,10.6,4.7,mb,,144,0.358,0.97,us,us6000cdq4,2020-10-28T03:36:52.265Z,"20 km WNW of Machachi, Ecuador",earthquake,3.4,6.3,0.115,23,reviewed,us,us
2020-10-27T09:57:10.218Z,38.5381,70.2,10,4.6,mb,,128,1.566,1.37,us,us6000cdp1,2020-10-27T10:54:57.040Z,"39 km SE of Roghun, Tajikistan",earthquake,7,1.9,0.125,19,reviewed,us,us
2020-10-27T07:01:15.845Z,40.1507,142.6434,42.02,4.7,mb,,141,1.362,0.54,us,us6000cdmw,2020-10-27T07:22:43.040Z,"82 km NE of Miyako, Japan",earthquake,4.4,8.4,0.152,15,reviewed,us,us
2020-10-27T06:47:54.786Z,49.4347,156.0901,35,4.7,mb,,149,3.814,0.62,us,us6000cdms,2020-10-27T07:21:16.040Z,"138 km S of Severo-Kuril’sk, Russia",earthquake,5.4,1.9,0.055,99,reviewed,us,us
2020-10-26T21:34:51.306Z,32.1316,56.0348,10,5,mb,,57,5.666,1.14,us,us6000cdjs,2020-10-27T02:48:59.444Z,"83 km NE of Bāfq, Iran",earthquake,7.4,1.9,0.052,117,reviewed,us,us
2020-10-26T13:15:01.550Z,29.1992,129.0993,10,4.5,mb,,106,2.465,1,us,us6000cda8,2020-10-26T13:57:46.040Z,"99 km NNW of Naze, Japan",earthquake,3.8,1.9,0.125,21,reviewed,us,us
2020-10-26T11:00:59.110Z,13.4316,144.4163,136.53,4.6,mb,,36,0.466,0.92,us,us6000cd9h,2020-10-27T08:32:48.227Z,"Guam region",earthquake,10.7,6.2,0.051,114,reviewed,us,us
2020-10-26T09:25:11.462Z,54.9466,-160.3852,45.32,4.9,mb,,152,0.407,0.87,us,us6000cd8r,2020-10-26T18:07:43.040Z,"44 km S of Sand Point, Alaska",earthquake,6.6,6.5,0.063,80,reviewed,us,us
2020-10-26T08:43:35.447Z,60.9492,165.4269,10,4.5,mb,,57,7.159,0.59,us,us6000cd8c,2020-10-26T09:01:34.040Z,"67 km NNW of Tilichiki, Russia",earthquake,8.5,1.9,0.054,102,reviewed,us,us
2020-10-26T08:26:35.784Z,0.5849,121.5429,90.02,5.1,mww,,21,0.923,1.05,us,us6000cd8a,2020-10-27T20:45:31.040Z,"169 km W of Gorontalo, Indonesia",earthquake,6,4.6,0.098,10,reviewed,us,us
2020-10-26T07:40:17.236Z,54.4691,-159.8437,21.02,4.6,mb,,155,0.391,0.86,us,us6000cd7z,2020-10-26T16:52:34.312Z,"105 km SSE of Sand Point, Alaska",earthquake,2.2,5.1,0.059,86,reviewed,us,us
2020-10-26T07:24:08.077Z,18.5256,145.8026,208.99,4.7,mb,,83,4.989,0.81,us,us6000cd7v,2020-10-26T07:48:12.040Z,"Pagan region, Northern Mariana Islands",earthquake,10.2,7.9,0.063,76,reviewed,us,us
2020-10-26T06:03:26.022Z,-23.3726,-68.4991,112.89,4.7,mb,,40,0.512,1.06,us,us6000cd6n,2020-10-26T07:11:51.040Z,"59 km SSW of San Pedro de Atacama, Chile",earthquake,6,5.6,0.166,11,reviewed,us,us
2020-10-26T04:55:50.877Z,-6.9822,129.1283,171.43,4.6,mb,,77,2.37,1,us,us6000cd6a,2020-10-26T21:16:44.040Z,"290 km NE of Lospalos, Timor Leste",earthquake,8.5,6.9,0.125,19,reviewed,us,us
2020-10-26T03:10:46.192Z,39.5479,71.2875,13.68,4.6,mb,,58,0.624,1.02,us,us6000cd5e,2020-10-26T04:03:19.040Z,"40 km NNW of Karakenja, Tajikistan",earthquake,5,3.7,0.085,41,reviewed,us,us
2020-10-26T02:58:50.549Z,-6.4003,154.2777,10,4.9,mb,,70,3.04,1.17,us,us6000cd5m,2020-10-26T03:49:01.040Z,"133 km W of Panguna, Papua New Guinea",earthquake,9.5,1.8,0.103,30,reviewed,us,us
2020-10-26T00:42:15.503Z,-6.5271,130.0705,133.73,4.6,mb,,43,1.891,0.98,us,us6000cd4l,2020-10-28T01:01:49.040Z,"Banda Sea",earthquake,8.1,5.4,0.084,42,reviewed,us,us
2020-10-25T23:43:11.001Z,-56.6979,-141.6208,10,5.5,mww,,68,27.414,0.72,us,us6000cd45,2020-10-28T01:56:30.061Z,"Pacific-Antarctic Ridge",earthquake,11.2,1.7,0.086,13,reviewed,us,us
2020-10-25T23:06:42.472Z,-62.3305,-58.1111,10,4.7,mb,,50,1.187,0.93,us,us6000cd3n,2020-10-28T01:56:24.040Z,"South Shetland Islands",earthquake,5.7,1.7,0.11,25,reviewed,us,us
2020-10-25T21:32:41.999Z,-23.2456,-68.5364,118.11,4.6,mwr,,67,0.44,0.9,us,us6000cd2z,2020-10-28T02:15:19.040Z,"50 km SW of San Pedro de Atacama, Chile",earthquake,6.3,6.1,,,reviewed,us,guc
2020-10-25T21:18:52.358Z,37.7819,141.0819,52.9,4.7,mb,,101,2.607,0.68,us,us6000cd2j,2020-10-27T21:06:14.040Z,"31 km ESE of Marumori, Japan",earthquake,8.7,7,0.11,25,reviewed,us,us
2020-10-25T21:17:14.814Z,-20.002,-70.9604,10,5.3,mww,,117,0.885,0.7,us,us6000cd2g,2020-10-27T22:03:55.441Z,"87 km WNW of Iquique, Chile",earthquake,4.4,1.6,0.063,24,reviewed,us,us
2020-10-25T19:35:45.022Z,47.0135,9.1981,5,4.5,mb,,89,0.551,1.11,us,us6000cd1u,2020-10-26T07:31:40.584Z,"9 km ESE of Ennenda, Switzerland",earthquake,4.6,2,0.145,14,reviewed,us,us
2020-10-25T15:13:00.343Z,31.1957,139.9839,146.88,4.5,mb,,132,1.919,0.82,us,us6000cd0n,2020-10-25T16:04:25.040Z,"Izu Islands, Japan region",earthquake,7.3,6.2,0.044,151,reviewed,us,us
2020-10-25T12:47:59.705Z,14.8012,-92.5237,71.22,5.1,mww,,139,0.848,1.12,us,us6000ccys,2020-10-27T17:17:11.096Z,"10 km SW of Mazatán, Mexico",earthquake,9.1,4.9,0.047,44,reviewed,us,us
2020-10-25T11:47:37.004Z,-15.3542,-173.4669,32.73,5.9,mww,,62,5.014,0.71,us,us6000ccyh,2020-10-27T16:40:50.040Z,"75 km NNE of Hihifo, Tonga",earthquake,8.8,4.6,0.075,17,reviewed,us,us
2020-10-25T11:04:46.376Z,-10.2591,161.5334,66.35,5.1,mww,,30,1.762,1.19,us,us6000ccxw,2020-10-27T17:03:34.040Z,"47 km WNW of Kirakira, Solomon Islands",earthquake,6,4.6,0.078,16,reviewed,us,us
2020-10-25T09:14:28.568Z,-37.8393,177.6062,48.26,4.6,mb,,99,0.62,0.62,us,us6000ccxa,2020-10-25T21:28:46.128Z,"33 km NE of Opotiki, New Zealand",earthquake,5.1,8.9,0.158,12,reviewed,us,us
2020-10-25T06:28:07.188Z,-0.749,123.2867,11.46,4.8,mb,,53,0.591,0.48,us,us6000ccwe,2020-10-25T06:44:57.040Z,"59 km ENE of Luwuk, Indonesia",earthquake,5.1,5.7,0.101,30,reviewed,us,us
2020-10-25T00:56:47.381Z,-8.009,107.9679,57.11,5.4,mww,,41,0.627,1.17,us,us6000cctq,2020-10-27T16:22:18.040Z,"74 km SSW of Kawalu, Indonesia",earthquake,5.3,5.6,0.06,27,reviewed,us,us
2020-10-24T22:23:01.035Z,54.5699,-159.59,37.02,4.8,mwr,,143,0.261,0.65,us,us6000ccsd,2020-10-24T22:53:03.433Z,"103 km SE of Sand Point, Alaska",earthquake,4.4,5.7,0.059,28,reviewed,us,us
2020-10-24T18:04:35.738Z,31.8024,104.2935,40.47,4.7,mb,,34,4.715,0.63,us,us6000ccpl,2020-10-24T20:36:27.040Z,"40 km W of Jiangyou, China",earthquake,8.5,6.2,0.058,100,reviewed,us,us
2020-10-24T17:58:52.853Z,56.4485,-147.591,20.96,4.8,mww,,135,3.033,0.49,us,us6000ccph,2020-10-27T16:48:27.912Z,"Gulf of Alaska",earthquake,6.2,3.5,0.05,39,reviewed,us,us
2020-10-24T16:18:47.713Z,62.2544,-124.4288,6.49,4.7,mb,,33,1.074,0.85,us,us6000ccnk,2020-10-26T18:25:54.040Z,"Northwest Territories, Canada",earthquake,4.7,2.9,0.029,354,reviewed,us,us
2020-10-24T15:55:57.506Z,-22.713,171.8392,47.8,4.7,mb,,129,3.738,0.74,us,us6000ccne,2020-10-24T16:54:19.040Z,"southeast of the Loyalty Islands",earthquake,10.2,7.4,0.095,34,reviewed,us,us
2020-10-24T15:52:32.497Z,-17.763,-69.257,163.11,4.7,mb,,92,0.273,0.69,us,us6000ccnb,2020-10-24T16:17:38.040Z,"74 km E of Palca, Peru",earthquake,8.8,7.8,0.101,30,reviewed,us,us
2020-10-24T14:54:30.130Z,-58.2464,-30.2316,33.99,4.7,mb,,94,5.284,1.15,us,us6000ccms,2020-10-24T15:20:57.040Z,"South Sandwich Islands region",earthquake,8.1,6.5,0.124,20,reviewed,us,us
2020-10-24T11:34:18.371Z,35.8067,48.9098,10,5,mww,,35,4.066,0.88,us,us6000cckl,2020-10-24T23:54:10.137Z,"46 km SW of Abhar, Iran",earthquake,6.9,1.8,0.098,10,reviewed,us,us
2020-10-24T11:06:42.951Z,-38.5361,177.8027,80.83,4.5,mb,,150,0.649,1.06,us,us6000cckc,2020-10-24T12:37:03.040Z,"21 km NW of Gisborne, New Zealand",earthquake,6.8,5.6,0.192,8,reviewed,us,us
2020-10-24T10:40:19.467Z,-62.3669,-58.1984,10,5,mww,,76,0.253,0.88,us,us6000cck0,2020-10-24T14:01:23.040Z,"South Shetland Islands",earthquake,3.1,1.8,0.073,18,reviewed,us,us
2020-10-24T10:11:09.314Z,25.9108,-110.3777,10,4.7,mb,,161,2.179,1.17,us,us6000ccj8,2020-10-24T15:40:14.956Z,"97 km E of Loreto, Mexico",earthquake,6.3,1.9,0.048,132,reviewed,us,us
2020-10-24T08:22:03.407Z,-2.0553,138.2658,39.22,4.8,mb,,63,6.072,0.78,us,us6000cchz,2020-10-24T08:38:34.040Z,"261 km ESE of Biak, Indonesia",earthquake,9.6,7.7,0.1,31,reviewed,us,us
2020-10-24T07:50:41.571Z,36.0382,21.8847,10,4.5,mb,,177,1.138,0.76,us,us6000ccht,2020-10-24T08:06:48.040Z,"84 km S of Koróni, Greece",earthquake,5.3,1.9,0.171,10,reviewed,us,us
2020-10-24T04:59:51.516Z,-18.068,-178.434,589.68,4.7,mb,,85,3.36,0.81,us,us6000ccfj,2020-10-24T05:15:33.040Z,"238 km E of Levuka, Fiji",earthquake,11.5,7.1,0.047,136,reviewed,us,us
2020-10-24T03:21:03.730Z,23.0338,92.2235,41.27,4.6,mb,,180,1.327,0.59,us,us6000ccf2,2020-10-25T09:10:59.896Z,"27 km ESE of Khagrachhari, Bangladesh",earthquake,3.2,6.9,0.146,14,reviewed,us,us
2020-10-23T23:08:54.518Z,-4.8002,145.5285,48.38,4.6,mb,,116,3.296,0.85,us,us6000ccd8,2020-10-23T23:34:48.040Z,"54 km NNW of Madang, Papua New Guinea",earthquake,5.3,8.8,0.1,30,reviewed,us,us
2020-10-23T19:11:29.422Z,-22.4518,-179.4725,574.74,4.6,mb,,98,5.228,0.69,us,us6000cc9n,2020-10-23T19:31:34.040Z,"south of the Fiji Islands",earthquake,12.6,9.9,0.079,49,reviewed,us,us
2020-10-23T19:00:45.738Z,-14.9843,167.1218,108.65,5.2,mww,,64,0.466,0.93,us,us6000cc9j,2020-10-24T15:22:34.063Z,"8 km NE of Port-Olry, Vanuatu",earthquake,8.5,1.1,0.075,17,reviewed,us,us
2020-10-23T16:29:55.563Z,-27.5525,-67.3482,136.92,5,mb,,74,2.562,1.03,us,us6000cc6p,2020-10-23T16:47:52.040Z,"27 km NW of Londres, Argentina",earthquake,8.2,7.8,0.137,17,reviewed,us,us
2020-10-23T16:06:13.522Z,-62.1881,-58.2825,10,5,mb,,108,3.663,1.13,us,us6000cc4n,2020-10-23T16:25:41.040Z,"South Shetland Islands",earthquake,13,1.9,0.093,37,reviewed,us,us
2020-10-23T10:58:13.386Z,54.5281,-159.5742,26.24,4.6,mwr,,155,0.303,0.97,us,us6000cbz4,2020-10-24T16:15:39.040Z,"107 km SSE of Sand Point, Alaska",earthquake,6,5.4,0.08,15,reviewed,us,us
2020-10-23T07:04:32.004Z,-25.6127,-179.9645,463.9,6.1,mww,,25,4.045,0.79,us,us6000cbx8,2020-10-24T07:08:32.647Z,"south of the Fiji Islands",earthquake,9.2,5.7,0.063,24,reviewed,us,us
2020-10-23T06:30:37.017Z,-36.3312,-97.6393,10,4.7,mb,,115,13.527,0.71,us,us6000cbws,2020-10-23T07:26:36.040Z,"West Chile Rise",earthquake,6.5,1.9,0.092,36,reviewed,us,us
2020-10-23T02:21:45.472Z,-3.8835,-81.8527,10,4.6,mb,,124,4.588,0.8,us,us6000cbuu,2020-10-23T02:47:36.040Z,"82 km WNW of El Alto, Peru",earthquake,9.1,1.9,0.082,44,reviewed,us,us
2020-10-23T02:19:07.596Z,19.9028,-45.7676,10,5,mb,,124,22.307,1.28,us,us6000cbus,2020-10-23T02:38:58.040Z,"northern Mid-Atlantic Ridge",earthquake,13.1,1.9,0.038,222,reviewed,us,us
2020-10-23T01:46:17.475Z,-36.4011,-97.1352,10,6,mww,,47,13.888,1.41,us,us6000cbug,2020-10-24T01:54:12.956Z,"West Chile Rise",earthquake,9.8,1.8,0.078,16,reviewed,us,us
2020-10-23T00:59:10.149Z,-24.6102,179.3424,534.69,4.7,mb,,90,5.219,0.96,us,us6000cbtu,2020-10-23T01:13:59.040Z,"south of the Fiji Islands",earthquake,12,9.6,0.081,46,reviewed,us,us
