stlo:  120.6328
stla:   22.6119
stel:    139.00
     T           E           N           Z
 0.0000e+00  7.8000e+01 -3.5550e+03 -1.6350e+03
 1.0000e-02  9.2000e+01 -3.5140e+03 -1.5980e+03
 2.0000e-02  1.0400e+02 -3.5290e+03 -1.5610e+03
 3.0000e-02  1.0900e+02 -3.5390e+03 -1.5460e+03
 4.0000e-02  1.2000e+02 -3.5630e+03 -1.5380e+03
 5.0000e-02  1.3200e+02 -3.6060e+03 -1.5200e+03
 6.0000e-02  1.1400e+02 -3.6560e+03 -1.5360e+03
 7.0000e-02  8.7000e+01 -3.6500e+03 -1.5470e+03
 8.0000e-02  1.2000e+02 -3.6350e+03 -1.4810e+03
 9.0000e-02  1.4300e+02 -3.6510e+03 -1.4490e+03
 1.0000e-01  1.3200e+02 -3.6570e+03 -1.4680e+03
 1.1000e-01  1.4800e+02 -3.6990e+03 -1.4500e+03
 1.2000e-01  1.5300e+02 -3.7290e+03 -1.4260e+03
 1.3000e-01  1.6500e+02 -3.7080e+03 -1.3860e+03
 1.4000e-01  1.9400e+02 -3.7160e+03 -1.3510e+03
 1.5000e-01  1.6300e+02 -3.7370e+03 -1.3160e+03
 1.6000e-01  1.5500e+02 -3.7430e+03 -1.2560e+03
 1.7000e-01  2.1400e+02 -3.7980e+03 -1.2660e+03
 1.8000e-01  2.4400e+02 -3.8360e+03 -1.2680e+03
 1.9000e-01  2.5200e+02 -3.8330e+03 -1.2470e+03
 2.0000e-01  2.6700e+02 -3.8580e+03 -1.2540e+03
 2.1000e-01  2.3700e+02 -3.8640e+03 -1.2300e+03
 2.2000e-01  2.0500e+02 -3.8430e+03 -1.2160e+03
 2.3000e-01  2.4800e+02 -3.8610e+03 -1.2400e+03
 2.4000e-01  2.5300e+02 -3.8880e+03 -1.2620e+03
 2.5000e-01  2.2400e+02 -3.9020e+03 -1.2490e+03
 2.6000e-01  2.5700e+02 -3.9670e+03 -1.2580e+03
 2.7000e-01  2.3800e+02 -4.0040e+03 -1.2640e+03
 2.8000e-01  2.2400e+02 -3.9800e+03 -1.2400e+03
 2.9000e-01  3.0300e+02 -3.9800e+03 -1.2310e+03
 3.0000e-01  3.0500e+02 -3.9980e+03 -1.2040e+03
 3.1000e-01  2.9300e+02 -4.0300e+03 -1.2060e+03
 3.2000e-01  3.1600e+02 -4.0840e+03 -1.2440e+03
 3.3000e-01  2.8100e+02 -4.1450e+03 -1.2720e+03
 3.4000e-01  2.4300e+02 -4.1640e+03 -1.2670e+03
 3.5000e-01  2.5100e+02 -4.1330e+03 -1.2200e+03
 3.6000e-01  3.0600e+02 -4.1400e+03 -1.1930e+03
 3.7000e-01  3.0600e+02 -4.1500e+03 -1.1700e+03
 3.8000e-01  2.9300e+02 -4.1710e+03 -1.1590e+03
 3.9000e-01  2.9400e+02 -4.2510e+03 -1.1970e+03
 4.0000e-01  2.6200e+02 -4.3210e+03 -1.2040e+03
 4.1000e-01  2.9100e+02 -4.3570e+03 -1.1560e+03
 4.2000e-01  3.6100e+02 -4.3170e+03 -1.0890e+03
 4.3000e-01  4.2900e+02 -4.3300e+03 -1.0500e+03
 4.4000e-01  4.4400e+02 -4.4210e+03 -1.0390e+03
 4.5000e-01  4.3900e+02 -4.4420e+03 -1.0670e+03
 4.6000e-01  4.4900e+02 -4.4350e+03 -1.0870e+03
 4.7000e-01  4.5800e+02 -4.4520e+03 -1.0600e+03
 4.8000e-01  4.8800e+02 -4.4950e+03 -1.0880e+03
 4.9000e-01  4.7200e+02 -4.5080e+03 -1.0900e+03
 5.0000e-01  4.9400e+02 -4.5270e+03 -1.0480e+03
 5.1000e-01  5.6000e+02 -4.5880e+03 -1.0540e+03
 5.2000e-01  5.3500e+02 -4.5850e+03 -1.0160e+03
 5.3000e-01  5.4100e+02 -4.5440e+03 -9.8300e+02
 5.4000e-01  6.1000e+02 -4.5480e+03 -9.9900e+02
 5.5000e-01  6.5200e+02 -4.5970e+03 -1.0070e+03
 5.6000e-01  6.8400e+02 -4.6480e+03 -1.0130e+03
 5.7000e-01  6.7600e+02 -4.6470e+03 -9.9800e+02
 5.8000e-01  6.7400e+02 -4.6540e+03 -1.0380e+03
 5.9000e-01  6.8900e+02 -4.6560e+03 -1.0540e+03
 6.0000e-01  7.1300e+02 -4.6060e+03 -9.6200e+02
 6.1000e-01  7.8600e+02 -4.6340e+03 -9.3100e+02
 6.2000e-01  7.9500e+02 -4.7150e+03 -9.6000e+02
 6.3000e-01  8.1500e+02 -4.7380e+03 -9.8100e+02
 6.4000e-01  8.4900e+02 -4.7500e+03 -1.0420e+03
 6.5000e-01  8.0300e+02 -4.7580e+03 -1.0650e+03
 6.6000e-01  8.1100e+02 -4.7320e+03 -1.0030e+03
 6.7000e-01  8.4400e+02 -4.7030e+03 -9.9700e+02
 6.8000e-01  8.7100e+02 -4.7590e+03 -1.0360e+03
 6.9000e-01  8.6900e+02 -4.8120e+03 -1.0670e+03
 7.0000e-01  8.4600e+02 -4.7860e+03 -1.0630e+03
 7.1000e-01  8.6200e+02 -4.8070e+03 -1.0650e+03
 7.2000e-01  8.5400e+02 -4.8130e+03 -1.1090e+03
 7.3000e-01  8.7200e+02 -4.7660e+03 -1.0980e+03
 7.4000e-01  9.0900e+02 -4.7740e+03 -1.0680e+03
 7.5000e-01  9.2100e+02 -4.8100e+03 -1.0880e+03
 7.6000e-01  8.8400e+02 -4.8020e+03 -1.0920e+03
 7.7000e-01  8.7200e+02 -4.7950e+03 -1.0420e+03
 7.8000e-01  9.3200e+02 -4.7950e+03 -1.0350e+03
 7.9000e-01  9.4400e+02 -4.7270e+03 -1.0170e+03
 8.0000e-01  9.5900e+02 -4.7110e+03 -9.9600e+02
 8.1000e-01  1.0030e+03 -4.7700e+03 -1.0310e+03
 8.2000e-01  1.0180e+03 -4.7700e+03 -1.0630e+03
 8.3000e-01  1.0390e+03 -4.7550e+03 -1.0890e+03
 8.4000e-01  1.0550e+03 -4.7350e+03 -1.0610e+03
 8.5000e-01  1.0610e+03 -4.7200e+03 -1.0230e+03
 8.6000e-01  1.0440e+03 -4.7020e+03 -9.9800e+02
 8.7000e-01  1.0230e+03 -4.6740e+03 -9.9700e+02
 8.8000e-01  1.0300e+03 -4.6930e+03 -1.0290e+03
 8.9000e-01  1.0400e+03 -4.6580e+03 -1.0480e+03
 9.0000e-01  1.0720e+03 -4.6270e+03 -1.0610e+03
 9.1000e-01  1.0760e+03 -4.6450e+03 -1.0670e+03
 9.2000e-01  1.0630e+03 -4.6470e+03 -1.0750e+03
 9.3000e-01  1.0250e+03 -4.6200e+03 -1.0920e+03
 9.4000e-01  9.8500e+02 -4.5420e+03 -1.0950e+03
 9.5000e-01  1.0110e+03 -4.5150e+03 -1.0840e+03
 9.6000e-01  1.0020e+03 -4.4980e+03 -1.0870e+03
 9.7000e-01  9.8600e+02 -4.4500e+03 -1.1110e+03
 9.8000e-01  9.4000e+02 -4.4280e+03 -1.1180e+03
 9.9000e-01  8.6400e+02 -4.4090e+03 -1.1050e+03
 1.0000e+00  8.4300e+02 -4.4040e+03 -1.1100e+03
 1.0100e+00  8.0100e+02 -4.3730e+03 -1.1020e+03
 1.0200e+00  7.6000e+02 -4.3110e+03 -1.0550e+03
 1.0300e+00  7.3200e+02 -4.2450e+03 -1.0200e+03
 1.0400e+00  6.9500e+02 -4.1740e+03 -1.0500e+03
 1.0500e+00  6.5600e+02 -4.1770e+03 -1.1130e+03
 1.0600e+00  6.0100e+02 -4.1840e+03 -1.1470e+03
 1.0700e+00  5.5700e+02 -4.1530e+03 -1.1470e+03
 1.0800e+00  5.0600e+02 -4.1420e+03 -1.1340e+03
 1.0900e+00  4.5400e+02 -4.1070e+03 -1.1310e+03
 1.1000e+00  4.2100e+02 -4.0310e+03 -1.1060e+03
 1.1100e+00  3.8900e+02 -3.9550e+03 -1.0910e+03
 1.1200e+00  3.3300e+02 -3.9760e+03 -1.1040e+03
 1.1300e+00  2.7000e+02 -3.9940e+03 -1.1230e+03
 1.1400e+00  2.4900e+02 -3.9310e+03 -1.1430e+03
 1.1500e+00  2.2800e+02 -3.9120e+03 -1.1140e+03
 1.1600e+00  1.8900e+02 -3.9240e+03 -1.0760e+03
 1.1700e+00  1.2400e+02 -3.8700e+03 -1.0620e+03
 1.1800e+00  6.0000e+01 -3.7880e+03 -1.0780e+03
 1.1900e+00  2.1000e+01 -3.7400e+03 -1.0970e+03
 1.2000e+00  1.0000e+01 -3.7240e+03 -1.0790e+03
 1.2100e+00  1.6000e+01 -3.7360e+03 -1.0990e+03
 1.2200e+00 -5.7000e+01 -3.7190e+03 -1.1310e+03
 1.2300e+00 -1.5600e+02 -3.6950e+03 -1.1500e+03
 1.2400e+00 -1.9500e+02 -3.6780e+03 -1.1700e+03
 1.2500e+00 -2.6300e+02 -3.6070e+03 -1.1730e+03
