   time          R           T           Z
0.0000e+00 -3.5372e+03 -3.6400e+02 -1.6350e+03
1.0000e-02 -3.4982e+03 -3.4502e+02 -1.5980e+03
2.0000e-02 -3.5146e+03 -3.3498e+02 -1.5610e+03
3.0000e-02 -3.5251e+03 -3.3126e+02 -1.5460e+03
4.0000e-02 -3.5503e+03 -3.2332e+02 -1.5380e+03
5.0000e-02 -3.5945e+03 -3.1675e+02 -1.5200e+03
6.0000e-02 -3.6419e+03 -3.4082e+02 -1.5360e+03
7.0000e-02 -3.6326e+03 -3.6687e+02 -1.5470e+03
8.0000e-02 -3.6218e+03 -3.3226e+02 -1.4810e+03
9.0000e-02 -3.6405e+03 -3.1142e+02 -1.4490e+03
1.0000e-01 -3.6451e+03 -3.2308e+02 -1.4680e+03
1.1000e-01 -3.6888e+03 -3.1242e+02 -1.4500e+03
1.2000e-01 -3.7191e+03 -3.1119e+02 -1.4260e+03
1.3000e-01 -3.6998e+03 -2.9667e+02 -1.3860e+03
1.4000e-01 -3.7113e+03 -2.6889e+02 -1.3510e+03
1.5000e-01 -3.7283e+03 -3.0226e+02 -1.3160e+03
1.6000e-01 -3.7333e+03 -3.1094e+02 -1.2560e+03
1.7000e-01 -3.7952e+03 -2.5923e+02 -1.2660e+03
1.8000e-01 -3.8366e+03 -2.3418e+02 -1.2680e+03
1.9000e-01 -3.8346e+03 -2.2587e+02 -1.2470e+03
2.0000e-01 -3.8613e+03 -2.1409e+02 -1.2540e+03
2.1000e-01 -3.8635e+03 -2.4460e+02 -1.2300e+03
2.2000e-01 -3.8387e+03 -2.7374e+02 -1.2160e+03
2.3000e-01 -3.8619e+03 -2.3331e+02 -1.2400e+03
2.4000e-01 -3.8893e+03 -2.3170e+02 -1.2620e+03
2.5000e-01 -3.8996e+03 -2.6222e+02 -1.2490e+03
2.6000e-01 -3.9682e+03 -2.3754e+02 -1.2580e+03
2.7000e-01 -4.0026e+03 -2.6099e+02 -1.2640e+03
2.8000e-01 -3.9770e+03 -2.7190e+02 -1.2400e+03
2.9000e-01 -3.9868e+03 -1.9351e+02 -1.2310e+03
3.0000e-01 -4.0049e+03 -1.9376e+02 -1.2040e+03
3.1000e-01 -4.0352e+03 -2.0964e+02 -1.2060e+03
3.2000e-01 -4.0916e+03 -1.9353e+02 -1.2440e+03
3.3000e-01 -4.1478e+03 -2.3583e+02 -1.2720e+03
3.4000e-01 -4.1619e+03 -2.7589e+02 -1.2670e+03
3.5000e-01 -4.1322e+03 -2.6411e+02 -1.2200e+03
3.6000e-01 -4.1460e+03 -2.1040e+02 -1.1930e+03
3.7000e-01 -4.1559e+03 -2.1164e+02 -1.1700e+03
3.8000e-01 -4.1751e+03 -2.2715e+02 -1.1590e+03
3.9000e-01 -4.2546e+03 -2.3609e+02 -1.1970e+03
4.0000e-01 -4.3201e+03 -2.7653e+02 -1.2040e+03
4.1000e-01 -4.3594e+03 -2.5223e+02 -1.1560e+03
4.2000e-01 -4.3284e+03 -1.7780e+02 -1.0890e+03
4.3000e-01 -4.3498e+03 -1.1194e+02 -1.0500e+03
4.4000e-01 -4.4419e+03 -1.0836e+02 -1.0390e+03
4.5000e-01 -4.4621e+03 -1.1593e+02 -1.0670e+03
4.6000e-01 -4.4564e+03 -1.0514e+02 -1.0870e+03
4.7000e-01 -4.4744e+03 -9.8317e+01 -1.0600e+03
4.8000e-01 -4.5208e+03 -7.3888e+01 -1.0880e+03
4.9000e-01 -4.5317e+03 -9.1378e+01 -1.0900e+03
5.0000e-01 -4.5533e+03 -7.1908e+01 -1.0480e+03
5.1000e-01 -4.6220e+03 -1.3992e+01 -1.0540e+03
5.2000e-01 -4.6159e+03 -3.8426e+01 -1.0160e+03
5.3000e-01 -4.5760e+03 -2.7382e+01 -9.8300e+02
5.4000e-01 -4.5885e+03  4.0587e+01 -9.9900e+02
5.5000e-01 -4.6424e+03  7.6178e+01 -1.0070e+03
5.6000e-01 -4.6970e+03  1.0160e+02 -1.0130e+03
5.7000e-01 -4.6950e+03  9.3785e+01 -9.9800e+02
5.8000e-01 -4.7017e+03  9.0931e+01 -1.0380e+03
5.9000e-01 -4.7055e+03  1.0557e+02 -1.0540e+03
6.0000e-01 -4.6589e+03  1.3559e+02 -9.6200e+02
6.1000e-01 -4.6957e+03  2.0455e+02 -9.3100e+02
6.2000e-01 -4.7772e+03  2.0342e+02 -9.6000e+02
6.3000e-01 -4.8025e+03  2.2041e+02 -9.8100e+02
6.4000e-01 -4.8187e+03  2.5266e+02 -1.0420e+03
6.5000e-01 -4.8209e+03  2.0602e+02 -1.0650e+03
6.6000e-01 -4.7961e+03  2.1719e+02 -1.0030e+03
6.7000e-01 -4.7714e+03  2.5353e+02 -9.9700e+02
6.8000e-01 -4.8303e+03  2.7337e+02 -1.0360e+03
6.9000e-01 -4.8827e+03  2.6480e+02 -1.0670e+03
7.0000e-01 -4.8540e+03  2.4521e+02 -1.0630e+03
7.1000e-01 -4.8768e+03  2.5848e+02 -1.0650e+03
7.2000e-01 -4.8818e+03  2.4980e+02 -1.1090e+03
7.3000e-01 -4.8374e+03  2.7349e+02 -1.0980e+03
7.4000e-01 -4.8499e+03  3.0921e+02 -1.0680e+03
7.5000e-01 -4.8871e+03  3.1665e+02 -1.0880e+03
7.6000e-01 -4.8746e+03  2.8093e+02 -1.0920e+03
7.7000e-01 -4.8662e+03  2.6989e+02 -1.0420e+03
7.8000e-01 -4.8736e+03  3.2943e+02 -1.0350e+03
7.9000e-01 -4.8076e+03  3.4978e+02 -1.0170e+03
8.0000e-01 -4.7936e+03  3.6665e+02 -9.9600e+02
8.1000e-01 -4.8576e+03  4.0298e+02 -1.0310e+03
8.2000e-01 -4.8595e+03  4.1787e+02 -1.0630e+03
8.3000e-01 -4.8472e+03  4.4057e+02 -1.0890e+03
8.4000e-01 -4.8294e+03  4.5893e+02 -1.0610e+03
8.5000e-01 -4.8152e+03  4.6674e+02 -1.0230e+03
8.6000e-01 -4.7952e+03  4.5211e+02 -9.9800e+02
8.7000e-01 -4.7649e+03  4.3475e+02 -9.9700e+02
8.8000e-01 -4.7846e+03  4.3933e+02 -1.0290e+03
8.9000e-01 -4.7511e+03  4.5360e+02 -1.0480e+03
9.0000e-01 -4.7243e+03  4.8920e+02 -1.0610e+03
9.1000e-01 -4.7427e+03  4.9094e+02 -1.0670e+03
9.2000e-01 -4.7430e+03  4.7779e+02 -1.0750e+03
9.3000e-01 -4.7115e+03  4.4344e+02 -1.0920e+03
9.4000e-01 -4.6292e+03  4.1343e+02 -1.0950e+03
9.5000e-01 -4.6056e+03  4.4258e+02 -1.0840e+03
9.6000e-01 -4.5876e+03  4.3576e+02 -1.0870e+03
9.7000e-01 -4.5380e+03  4.2585e+02 -1.1110e+03
9.8000e-01 -4.5104e+03  3.8293e+02 -1.1180e+03
9.9000e-01 -4.4822e+03  3.0988e+02 -1.1050e+03
1.0000e+00 -4.4746e+03  2.8966e+02 -1.1100e+03
1.0100e+00 -4.4386e+03  2.5184e+02 -1.1020e+03
1.0200e+00 -4.3720e+03  2.1885e+02 -1.0550e+03
1.0300e+00 -4.3030e+03  1.9926e+02 -1.0200e+03
1.0400e+00 -4.2280e+03  1.7137e+02 -1.0500e+03
1.0500e+00 -4.2261e+03  1.3230e+02 -1.1130e+03
1.0600e+00 -4.2262e+03  7.6852e+01 -1.1470e+03
1.0700e+00 -4.1900e+03  3.7042e+01 -1.1470e+03
1.0800e+00 -4.1728e+03 -1.2198e+01 -1.1340e+03
1.0900e+00 -4.1316e+03 -5.9450e+01 -1.1310e+03
1.1000e+00 -4.0521e+03 -8.2758e+01 -1.1060e+03
1.1100e+00 -3.9727e+03 -1.0507e+02 -1.0910e+03
1.1200e+00 -3.9866e+03 -1.6325e+02 -1.1040e+03
1.1300e+00 -3.9966e+03 -2.2800e+02 -1.1230e+03
1.1400e+00 -3.9315e+03 -2.4101e+02 -1.1430e+03
1.1500e+00 -3.9100e+03 -2.5949e+02 -1.1140e+03
1.1600e+00 -3.9171e+03 -2.9968e+02 -1.0760e+03
1.1700e+00 -3.8554e+03 -3.5747e+02 -1.0620e+03
1.1800e+00 -3.7661e+03 -4.1079e+02 -1.0780e+03
1.1900e+00 -3.7137e+03 -4.4353e+02 -1.0970e+03
1.2000e+00 -3.6964e+03 -4.5246e+02 -1.0790e+03
1.2100e+00 -3.7091e+03 -4.4800e+02 -1.0990e+03
1.2200e+00 -3.6831e+03 -5.1832e+02 -1.1310e+03
1.2300e+00 -3.6470e+03 -6.1357e+02 -1.1500e+03
1.2400e+00 -3.6253e+03 -6.5016e+02 -1.1700e+03
1.2500e+00 -3.5464e+03 -7.0882e+02 -1.1730e+03
1.2600e+00 -3.4870e+03 -7.8906e+02 -1.1960e+03
1.2700e+00 -3.4868e+03 -8.3136e+02 -1.2050e+03
