year,mon,dy,hr,minutes,seconds,lon,lat,dep,mag,evid
2012,1,1,2,30,12.15,121.6237,23.6567,31.03,3.60,13010230.P12
2012,1,1,10,46,18.17,120.9122,23.1740,2.00,3.07,13011045.P12
2012,1,1,10,47,16.34,120.9118,23.1782,1.67,3.12,13011045.112
2012,1,1,14,23,23.99,121.7152,24.4510,56.04,4.07,13011423.P12
2012,1,2,5,45,44.75,121.1985,21.2650,51.70,3.48,13020545.P12
2012,1,2,10,24,10.80,122.0817,24.3262,53.70,3.47,13021024.P12
2012,1,2,20,50,49.79,120.6753,22.8245,20.23,3.48,13022050.P12
2012,1,3,14,8,2.05,121.4958,22.0733,81.68,3.16,13031408.P12
2012,1,3,19,34,57.21,122.2335,24.7880,8.87,3.14,13031934.P12
2012,1,4,3,54,58.08,121.3668,22.8952,34.34,3.52,13040354.P12
2012,1,4,5,30,34.46,121.0307,22.2428,9.44,3.60,13040529.P12
2012,1,4,5,35,20.29,121.0390,22.2408,9.83,3.15,13040534.P12
2012,1,4,6,53,46.32,121.6037,23.9607,8.91,3.84,13040653.P12
2012,1,4,6,59,57.27,121.6028,23.9702,7.43,4.66,13040659.P12
2012,1,4,9,17,20.45,121.6457,24.3318,24.00,3.60,13040916.P12
2012,1,5,2,30,51.24,120.6155,23.5380,8.82,3.29,13050229.P12
2012,1,5,7,32,54.72,122.2238,24.2735,19.61,3.01,13050732.P12
2012,1,5,9,16,6.32,122.3915,23.9642,1.76,4.06,13050916.P12
2012,1,5,16,32,10.74,121.8445,24.2347,21.92,3.20,13051632.P12
2012,1,6,14,12,17.54,121.6298,23.4207,46.83,3.50,13061412.P12
2012,1,6,21,40,39.68,120.4855,23.1308,13.74,3.72,13062140.P12
2012,1,7,15,26,51.70,122.1302,24.8370,96.17,3.41,13071526.P12
2012,1,7,19,0,6.81,121.7485,24.8928,107.37,3.46,13071900.P12
2012,1,7,19,52,26.44,122.7592,23.9472,42.63,4.20,13071952.P12
2012,1,7,21,46,3.67,121.4032,21.5620,44.84,3.77,13072145.P12
2012,1,8,1,20,39.56,120.9697,24.0398,26.72,3.02,13080120.P12
2012,1,8,17,33,0.88,121.3510,21.6208,42.42,3.21,13081732.P12
2012,1,9,0,37,38.92,121.5855,24.0987,48.30,3.30,13090036.P12
2012,1,9,4,26,48.03,121.6272,23.9943,8.17,4.22,13090425.P12
2012,1,9,4,27,22.05,121.5780,24.0013,6.27,3.03,13090425.112
2012,1,9,5,52,5.41,121.4537,22.2692,28.53,3.38,13090552.P12
2012,1,9,6,17,31.50,121.6295,23.9893,8.98,3.36,13090616.112
2012,1,9,7,7,41.93,121.6257,24.0043,8.11,3.40,13090706.P12
2012,1,9,9,33,27.56,121.3642,22.0978,14.87,3.12,13090933.212
2012,1,9,9,33,56.90,121.5978,23.9885,8.06,3.04,13090933.P12
2012,1,9,9,34,2.17,121.3590,22.0507,15.62,3.53,13090933.112
2012,1,9,17,7,3.75,121.3112,23.2417,37.64,3.25,13091707.P12
2012,1,10,0,28,57.65,122.3755,24.0072,23.72,4.11,13100028.P12
2012,1,10,1,26,42.91,121.6255,23.9735,8.57,3.01,13100125.P12
2012,1,10,7,41,7.22,122.7570,24.5307,89.99,4.75,13100740.P12
2012,1,10,8,0,41.93,120.8543,22.6717,8.79,3.07,13100800.P12
2012,1,10,8,38,32.36,121.8398,24.8487,76.77,3.71,13100838.P12
2012,1,10,9,34,24.36,121.5988,23.9892,8.02,3.36,13100934.P12
2012,1,10,9,42,32.31,122.3323,21.1515,17.54,3.52,13100942.P12
2012,1,11,10,57,35.25,122.2198,23.6072,20.17,3.33,13111057.P12
2012,1,11,17,58,23.82,122.1378,24.7988,85.44,3.27,13111758.P12
2012,1,11,21,59,13.90,121.3335,23.0095,20.71,3.04,13112159.P12
2012,1,12,0,38,20.38,122.2732,24.8408,10.98,3.32,13120037.P12
2012,1,12,4,53,59.34,122.2792,24.2265,24.25,3.23,13120453.P12
2012,1,12,5,2,12.04,122.2450,24.2050,24.66,3.80,13120501.P12
2012,1,12,13,22,33.19,120.5843,23.3750,15.55,3.00,13121322.P12
2012,1,12,18,4,2.82,122.4125,24.7330,16.47,3.21,13121804.P12
2012,1,13,4,41,4.88,121.8553,23.7352,31.94,3.34,13130440.P12
2012,1,13,10,40,8.06,121.9068,24.4278,20.16,3.66,13131040.P12
2012,1,14,0,30,9.87,121.9527,24.8213,11.77,3.35,13140029.P12
2012,1,14,12,7,1.22,122.5492,25.2915,235.91,4.02,13141207.P12
2012,1,14,14,26,56.65,121.8888,24.0473,17.02,3.24,13141426.P12
2012,1,14,16,20,50.09,122.2685,24.1177,23.37,4.02,13141620.P12
2012,1,14,17,11,41.23,121.7233,24.2333,10.27,3.00,13141709.P12
2012,1,14,23,55,18.78,121.7367,24.2377,13.05,3.17,13142354.P12
2012,1,15,0,17,12.12,121.7308,24.2302,10.59,3.32,13150017.P12
2012,1,15,0,56,38.44,121.7303,24.2378,12.41,3.28,13150056.P12
2012,1,15,1,18,29.41,121.7340,24.2263,11.35,3.39,13150117.P12
2012,1,15,7,2,50.55,121.8723,21.3588,147.80,3.64,13150702.P12
2012,1,15,13,48,25.39,121.7125,24.2547,7.77,3.04,13151348.P12
2012,1,15,14,9,58.12,121.6645,24.0280,24.81,3.08,13151409.P12
2012,1,15,21,58,35.73,121.7410,24.2330,12.35,3.59,13152157.P12
2012,1,15,21,58,42.62,121.7337,24.2347,8.78,3.76,13152157.112
2012,1,15,21,58,49.45,121.7137,24.2318,8.53,3.74,13152157.212
2012,1,16,1,57,11.02,121.7325,24.2250,11.83,3.25,13160156.P12
2012,1,16,2,51,46.68,121.7480,24.8118,88.42,3.74,13160251.P12
2012,1,16,4,4,2.33,121.9207,23.7305,33.46,3.24,13160403.P12
2012,1,16,4,11,6.60,121.8098,24.4108,12.62,3.25,13160410.P12
2012,1,16,4,13,4.37,121.7008,24.2480,4.27,3.08,13160412.P12
